City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,90,AU,1570733870,70,-42.78,147.06,48.2,5.82
Constitucion,20,MX,1570733871,33,23.99,-104.67,78.01,1.03
Albany,20,US,1570733872,37,42.65,-73.75,70.0,8.05
Rikitea,82,PF,1570733872,71,-23.12,-134.97,68.68,11.07
Puerto Ayora,33,EC,1570733873,57,-0.74,-90.35,75.2,21.92
Norman Wells,75,CA,1570733873,74,65.28,-126.83,37.4,10.29
Bonavista,0,CA,1570733874,73,48.65,-53.11,53.01,1.99
Inyonga,100,TZ,1570733875,57,-6.72,32.06,74.08,6.19
Coquimbo,40,CL,1570733878,67,-29.95,-71.34,60.8,13.87
Klaksvik,100,FO,1570733879,93,62.23,-6.59,44.6,11.41
Ushuaia,75,AR,1570733879,84,-54.81,-68.31,32.0,29.97
Talnakh,73,RU,1570733880,63,69.49,88.39,15.4,12.3
Torbay,40,CA,1570733880,66,47.66,-52.73,57.0,8.05
Victoria,75,BN,1570733882,94,5.28,115.24,77.0,1.12
Zemetchino,100,RU,1570733883,82,53.5,42.62,49.96,19.51
Bud,75,NO,1570733884,76,62.91,6.91,50.0,3.36
Yellowknife,75,CA,1570733884,80,62.45,-114.38,37.0,5.82
Busselton,60,AU,1570733885,73,-33.64,115.35,61.0,11.54
Bethel,90,US,1570733886,93,60.79,-161.76,37.4,8.05
Ribeira Grande,40,PT,1570733886,68,38.52,-28.7,71.6,9.17
Provideniya,0,RU,1570733888,73,64.42,-173.23,26.38,2.42
Chokurdakh,96,RU,1570733890,89,70.62,147.9,11.08,5.02
Mataura,100,NZ,1570733891,91,-46.19,168.86,43.0,11.99
Punta Arenas,40,CL,1570733892,60,-53.16,-70.91,39.2,31.09
Kapaa,40,US,1570733892,94,22.08,-159.32,81.0,6.93
Salinopolis,95,BR,1570733893,76,-0.61,-47.36,80.92,21.74
Hithadhoo,100,MV,1570733894,79,-0.6,73.08,82.18,14.88
Bluff,23,AU,1570733894,93,-23.58,149.07,60.76,8.37
Hermanus,71,ZA,1570733896,77,-34.42,19.24,61.0,1.99
Butaritari,66,KI,1570733897,61,3.07,172.79,84.16,7.05
Jutai,64,BR,1570733898,39,-1.71,-47.89,94.06,5.76
Kutum,21,SD,1570733900,31,14.2,24.66,82.9,11.41
Russell,90,US,1570733900,80,38.9,-98.86,41.0,28.86
Barrow,67,AR,1570733900,35,-38.31,-60.23,76.96,13.12
Berlevag,75,NO,1570733901,86,70.86,29.09,39.2,10.29
Hilo,90,US,1570733901,83,19.71,-155.08,78.01,8.05
Denpasar,75,ID,1570733902,94,-8.65,115.22,78.8,6.93
Pevek,55,RU,1570733902,80,69.7,170.27,20.8,14.03
Upernavik,0,GL,1570733902,58,72.79,-56.15,28.72,4.61
Huarmey,44,PE,1570733903,47,-10.07,-78.15,73.72,10.43
Roald,75,NO,1570733903,81,62.58,6.12,51.01,13.87
Hobart,90,AU,1570733903,70,-42.88,147.33,48.2,5.82
Khatanga,56,RU,1570733904,88,71.98,102.47,13.78,9.84
Griffith,17,AU,1570733904,76,-34.29,146.06,48.2,3.36
Oyama,90,JP,1570733904,93,36.31,139.8,64.0,4.7
Broome,20,GB,1570733905,71,52.47,1.45,59.0,9.17
Ewa Beach,75,US,1570733905,66,21.32,-158.01,84.99,5.82
Ancud,90,CL,1570733906,100,-41.87,-73.83,53.6,12.75
Santa Isabel do Rio Negro,25,BR,1570733907,44,-0.41,-65.02,92.8,1.72
Mar del Plata,84,AR,1570733907,57,-46.43,-67.52,49.06,20.88
Saint-Philippe,1,CA,1570733908,45,45.36,-73.48,66.99,12.75
Shache,0,CN,1570733908,21,38.42,77.24,62.56,7.73
Vaini,100,IN,1570733908,94,15.34,74.49,70.12,4.12
Lulea,90,SE,1570733908,96,65.58,22.15,33.8,3.36
Nikolskoye,90,RU,1570733909,93,59.7,30.79,45.0,2.24
Kuusamo,90,FI,1570733910,98,65.96,29.19,32.0,4.7
Saskylakh,98,RU,1570733911,94,71.97,114.09,11.98,13.84
Kuopio,45,FI,1570733911,90,62.89,27.68,35.6,3.36
Rosarito,75,CO,1570733911,77,4.91,-75.23,80.6,8.05
Chuy,35,UY,1570733912,61,-33.69,-53.46,78.04,5.78
Cape Town,40,ZA,1570733912,72,-33.93,18.42,61.0,12.75
Iqaluit,90,CA,1570733912,100,63.75,-68.52,35.6,3.36
Kralendijk,40,BQ,1570733913,66,12.15,-68.27,87.8,10.29
Zlitan,0,LY,1570733913,66,32.47,14.57,75.16,10.46
Beringovskiy,99,RU,1570733914,66,63.05,179.32,31.96,1.34
Qaanaaq,50,GL,1570733914,64,77.48,-69.36,24.4,11.53
Hofn,100,IS,1570733914,81,64.25,-15.21,45.82,10.47
Avarua,57,CK,1570733915,73,-21.21,-159.78,71.6,11.41
Arraial do Cabo,75,BR,1570733915,88,-22.97,-42.02,73.4,5.82
Bilma,74,NE,1570733915,17,18.69,12.92,95.32,6.62
Muli,99,CN,1570733916,91,28.08,109.56,60.58,8.05
Arjona,75,CO,1570733917,100,10.25,-75.34,78.8,4.7
Mastic Beach,90,US,1570733917,32,40.77,-72.85,69.01,23.04
Hasaki,75,JP,1570733917,100,35.73,140.83,64.0,8.05
Castro,90,CL,1570733918,100,-42.48,-73.76,53.6,12.75
Longyearbyen,20,NO,1570733918,68,78.22,15.63,26.6,14.99
Tucuman,0,PE,1570733918,17,-17.17,-70.89,73.0,12.75
Sao Felix do Xingu,93,BR,1570733919,47,-6.64,-51.99,89.74,4.98
Thompson,90,CA,1570733919,51,55.74,-97.86,37.4,9.17
Vianopolis,78,BR,1570733920,31,-16.74,-48.52,88.3,7.98
Fare,100,PF,1570733920,79,-16.7,-151.02,76.06,16.14
Vardo,1,US,1570733920,53,39.62,-77.74,73.0,4.7
Dawson Creek,1,CA,1570733921,59,55.76,-120.23,37.4,2.24
Bambanglipuro,85,ID,1570733922,90,-7.95,110.28,73.9,5.04
Lata,13,IN,1570733922,71,30.78,78.62,28.72,1.12
Faanui,100,PF,1570733923,80,-16.48,-151.75,75.52,17.43
Banyo,42,CM,1570733923,92,6.75,11.81,68.86,2.95
Tomatlan,100,MX,1570733924,58,19.93,-105.25,88.12,3.2
Cidreira,1,BR,1570733925,80,-30.17,-50.22,69.22,11.17
Ajdabiya,88,LY,1570733925,53,30.75,20.22,78.22,16.73
Bambous Virieux,75,MU,1570733926,57,-20.34,57.76,75.2,14.99
Tiksi,96,RU,1570733926,92,71.64,128.87,15.4,3.91
Tuktoyaktuk,40,CA,1570733926,79,69.44,-133.03,33.8,3.36
Keffi,27,NG,1570733927,85,8.85,7.88,76.42,2.23
Casselman,75,CA,1570733927,42,45.31,-75.09,64.99,9.17
Eldama Ravine,75,KE,1570733927,87,0.05,35.72,59.0,10.29
Kremenki,88,RU,1570733927,88,54.51,48.87,44.92,7.7
Yantzaza,100,EC,1570733928,33,-3.83,-78.76,87.8,20.8
Kodiak,90,US,1570733928,93,39.95,-94.76,72.0,12.75
Sitka,0,US,1570733928,69,37.17,-99.65,45.0,28.01
Inirida,58,CO,1570733930,49,3.87,-67.92,91.9,2.59
Ust-Maya,100,RU,1570733930,94,60.42,134.54,23.14,10.44
Havoysund,75,NO,1570733931,100,71.0,24.66,37.4,9.17
Jamestown,37,AU,1570733931,66,-33.21,138.6,46.18,10.08
Katsuura,75,JP,1570733931,83,33.93,134.5,69.8,8.05
Severo-Kurilsk,74,RU,1570733932,94,50.68,156.12,39.7,9.64
Seymchan,100,RU,1570733932,94,62.93,152.39,18.82,3.25
Westport,90,US,1570733932,32,41.14,-73.36,71.01,23.04
Bereda,75,ES,1570733933,93,43.27,-7.54,61.0,2.24
Mopipi,100,BW,1570733933,16,-21.2,24.86,85.96,10.84
Kropotkin,0,RU,1570733934,74,45.43,40.58,59.5,7.9
Airai,54,TL,1570733934,29,-8.93,125.41,66.52,5.56
Kiruna,99,SE,1570733935,92,67.86,20.23,28.4,2.24
Buala,100,SB,1570733935,79,-8.15,159.59,77.86,3.42
Saint-Georges,100,CA,1570733935,54,46.12,-70.67,59.0,4.0
Ban Nahin,19,LA,1570733936,82,18.24,104.21,75.52,2.29
Tashara,16,RU,1570733936,67,55.52,83.51,33.04,7.08
Ostrovnoy,63,RU,1570733937,92,68.05,39.51,28.18,10.9
Da Lat,25,VN,1570733937,98,11.95,108.44,58.78,1.43
Alofi,58,NU,1570733937,88,-19.06,-169.92,75.2,6.93
Pisco,40,PE,1570733938,30,-13.71,-76.2,71.6,11.41
Kaitangata,100,NZ,1570733939,79,-46.28,169.85,45.0,31.0
Te Anau,100,NZ,1570733940,93,-45.41,167.72,41.86,11.14
Atuona,0,PF,1570733941,74,-9.8,-139.03,78.58,13.01
Antipino,100,RU,1570733941,79,57.11,65.76,43.0,6.88
Beloha,25,MG,1570733941,46,-25.17,45.06,79.3,7.5
Jining,77,CN,1570733942,90,35.41,116.58,59.86,4.68
Coos Bay,1,US,1570733942,47,43.37,-124.22,57.99,10.29
Waddan,0,LY,1570733943,30,29.16,16.14,77.5,9.39
Ust-Nera,96,RU,1570733943,92,64.57,143.24,13.06,9.27
Dikson,100,RU,1570733944,83,73.51,80.55,29.8,25.84
Xiaoweizhai,73,CN,1570733944,97,26.23,107.51,65.44,2.43
Bredasdorp,57,ZA,1570733944,67,-34.53,20.04,57.99,8.05
Carlsbad,20,CZ,1570733946,93,50.23,12.87,48.99,2.24
Georgetown,40,GY,1570733946,70,6.8,-58.16,86.0,13.87
Clyde River,75,CA,1570733946,100,70.47,-68.59,33.8,11.41
Saint-Pierre,21,FR,1570733947,87,48.95,4.24,51.8,8.05
Lagoa,0,PT,1570733948,69,37.14,-8.45,73.4,2.24
Teahupoo,75,PF,1570733948,65,-17.83,-149.27,78.8,4.7
Jam Sahib,0,PK,1570733948,69,26.3,68.63,80.6,4.7
Batagay-Alyta,100,RU,1570733948,79,67.8,130.41,8.38,4.0
Belmonte,0,PT,1570733949,60,40.36,-7.35,72.0,1.93
Umm Lajj,0,SA,1570733949,40,25.02,37.27,84.7,6.85
Mount Isa,0,AU,1570733949,15,-20.73,139.49,66.2,8.05
Iskateley,76,RU,1570733950,90,67.68,53.15,33.22,10.28
Whitianga,100,NZ,1570733950,98,-36.83,175.7,60.01,4.0
Matagami,40,NG,1570733950,94,9.67,8.4,68.0,10.29
Ponta do Sol,92,BR,1570733951,69,-20.63,-46.0,74.62,7.62
Tatishchevo,100,RU,1570733952,72,51.67,45.59,53.01,7.0
Atar,61,MR,1570733952,18,20.52,-13.05,96.8,11.41
Lasa,20,CY,1570733953,83,34.92,32.53,77.0,5.82
Ambon,90,FR,1570733953,93,47.55,-2.56,62.6,6.93
Namibe,85,AO,1570733954,84,-15.19,12.15,68.68,6.0
Gorontalo,60,ID,1570733954,86,0.54,123.06,73.36,2.64
Morant Bay,20,JM,1570733954,59,17.88,-76.41,89.6,19.46
Aklavik,40,CA,1570733955,77,68.22,-135.01,32.0,5.12
Namatanai,5,PG,1570733955,73,-3.66,152.44,82.72,8.9
Majene,6,ID,1570733955,87,-3.54,118.97,75.34,3.3
Setermoen,40,NO,1570733956,100,68.86,18.35,28.99,5.82
Sorland,98,NO,1570733956,59,67.67,12.69,44.38,10.51
Takab,0,IR,1570733956,50,36.4,47.11,53.38,6.53
Lakes Entrance,80,AU,1570733957,94,-37.88,147.99,50.0,3.76
Elat,40,CM,1570733958,97,2.91,11.16,70.3,4.32
Port Elizabeth,1,US,1570733958,38,39.31,-74.98,75.2,13.87
Mount Gambier,40,AU,1570733959,93,-37.83,140.78,39.2,3.36
Dinan,20,FR,1570733959,87,48.45,-2.05,59.0,11.41
Haines Junction,100,CA,1570733959,93,60.75,-137.51,28.72,11.64
San Patricio,0,PY,1570733960,31,-26.98,-56.83,93.34,6.99
Chippewa Falls,75,US,1570733960,67,44.94,-91.39,66.2,13.75
Coihaique,40,CL,1570733960,47,-45.58,-72.07,57.2,9.17
Emerald,90,AU,1570733961,82,-23.53,148.16,68.0,9.17
Seybaplaya,40,MX,1570733961,70,19.65,-90.67,87.8,5.82
Tumalaytay,92,PH,1570733962,77,12.28,123.23,81.28,9.19
Colombo,20,BR,1570733962,44,-25.29,-49.22,84.0,5.82
Tessalit,54,ML,1570733962,41,20.2,1.01,85.24,20.1
Yar-Sale,100,RU,1570733963,87,66.83,70.83,40.24,16.37
Ahipara,100,NZ,1570733963,100,-35.17,173.16,59.0,9.79
Irbeyskoye,0,RU,1570733963,61,55.64,95.45,25.48,4.94
Piacabucu,66,BR,1570733964,74,-10.41,-36.43,78.04,12.18
Kijang,0,KR,1570733964,82,35.24,129.21,59.0,5.82
Vaasa,90,FI,1570733964,100,63.1,21.62,43.0,8.05
Komsomolets,100,RU,1570733966,77,52.77,41.29,51.22,18.83
Mansa,0,IN,1570733967,69,23.43,72.66,78.8,5.07
Carutapera,95,BR,1570733968,76,-1.2,-46.02,81.28,23.51
Marawi,100,PH,1570733968,93,8.0,124.29,73.99,8.01
Antofagasta,35,CL,1570733968,55,-23.65,-70.4,66.2,13.87
Kalach-na-Donu,0,RU,1570733968,58,48.69,43.52,53.02,14.48
Praia,100,BR,1570733969,54,-20.25,-43.81,82.0,6.93
Carballo,75,ES,1570733969,93,43.21,-8.69,66.0,2.24
Carnarvon,99,ZA,1570733970,14,-30.97,22.13,59.32,10.46
Mkushi,55,ZM,1570733970,29,-13.61,29.4,76.06,5.87
Cabo San Lucas,20,MX,1570733970,46,22.89,-109.91,93.2,5.82
Gat,20,SN,1570733971,83,14.69,-16.54,95.0,8.05
Goderich,57,CA,1570733971,52,43.74,-81.71,68.0,15.99
Tigzirt,60,DZ,1570733972,68,36.57,4.2,65.26,3.62
Tasiilaq,20,GL,1570733972,64,65.61,-37.64,37.4,5.82
Adolfo Lopez Mateos,0,MX,1570733972,50,26.8,-109.39,96.01,7.0
Jandaia do Sul,0,BR,1570733973,20,-23.6,-51.64,93.2,6.93
Kitgum,94,UG,1570733973,90,3.3,32.88,69.04,3.48
Mildura,0,AU,1570733973,65,-34.18,142.16,46.4,5.82
Morro Bay,1,US,1570733974,18,35.37,-120.85,75.0,4.7
Mattru,56,SL,1570733974,81,7.62,-11.83,80.02,6.49
Nemuro,100,JP,1570733974,83,43.32,145.57,60.22,14.04
Saint Anthony,1,US,1570733974,42,43.97,-111.68,32.0,4.18
Hengyang,95,CN,1570733975,66,26.89,112.6,72.64,10.01
Speedway,40,US,1570733975,50,39.8,-86.27,79.0,5.82
Souillac,12,FR,1570733976,82,45.6,-0.6,61.0,3.36
Acajutla,20,SV,1570733976,55,13.59,-89.83,87.8,4.7
Champerico,40,MX,1570733976,58,16.38,-93.6,86.0,3.36
Nushki,0,PK,1570733977,18,29.55,66.02,73.9,6.81
Samarai,92,PG,1570733977,94,-10.62,150.67,72.82,5.09
Vila Franca do Campo,20,PT,1570733977,64,37.72,-25.43,69.8,5.82
Arlit,90,NE,1570733978,44,18.74,7.39,84.52,13.22
Winnemucca,1,US,1570733978,32,40.97,-117.74,39.99,3.82
Labytnangi,98,RU,1570733979,81,66.66,66.39,36.46,18.32
Sistranda,15,NO,1570733979,81,63.73,8.83,46.0,9.17
Kattivakkam,20,IN,1570733979,83,13.22,80.32,84.0,4.7
Salalah,20,OM,1570733980,88,17.01,54.1,80.6,2.24
Sao Filipe,63,CV,1570733981,83,14.9,-24.5,79.3,7.03
Shizunai,84,JP,1570733981,73,42.33,142.37,49.06,4.19
Kavieng,0,PG,1570733981,69,-2.57,150.8,84.16,8.8
Washington DC.,40,US,1570733982,44,38.9,-77.04,75.99,3.36
Hovd,0,NO,1570733983,93,63.83,10.7,46.0,9.17
Awbari,0,LY,1570733984,32,26.59,12.77,77.68,8.91
Havre-Saint-Pierre,1,CA,1570733984,44,50.23,-63.6,57.2,5.82
Touros,40,BR,1570733985,62,-5.2,-35.46,84.2,16.11
East London,75,ZA,1570733985,63,-33.02,27.91,60.8,8.05
Iquitos,40,PE,1570733985,319,-3.75,-73.25,42.8,5.82
Heihe,6,RU,1570733985,83,50.24,127.51,31.24,7.29
Verkhnevilyuysk,99,RU,1570733986,94,63.45,120.31,19.9,6.62
San Juan Evangelista,40,MX,1570733986,66,17.88,-95.14,91.0,11.41
Port Hedland,5,AU,1570733986,77,-20.31,118.58,69.8,3.36
Ajaccio,5,FR,1570733987,67,41.93,8.74,69.8,4.7
Trat,54,TH,1570733987,89,12.25,102.51,82.99,1.1
Codrington,75,AU,1570733987,93,-28.95,153.24,55.0,6.93
Arkhangelsk,100,RU,1570733988,97,64.54,40.54,33.94,7.02
Mantua,84,IT,1570733988,93,45.16,10.79,62.01,2.24
Iguape,93,BR,1570733988,62,-24.7,-47.56,79.3,5.4
Guerrero Negro,5,MX,1570733990,56,27.97,-114.04,72.28,13.87
Port-Gentil,75,GA,1570733991,100,-0.72,8.78,77.0,12.75
Hereford,100,GB,1570733992,93,52.06,-2.72,60.01,10.0
Port Lincoln,8,AU,1570733993,91,-34.72,135.86,51.94,13.71
Lodja,100,CD,1570733993,95,-3.52,23.6,71.74,1.97
Neuquen,100,AR,1570733994,14,-38.95,-68.06,80.6,13.87
Betsiamites,1,CA,1570733995,58,48.94,-68.65,55.4,4.7
Pangnirtung,90,CA,1570733996,93,66.15,-65.72,35.6,4.7
Olga,1,US,1570733997,43,34.11,-118.17,79.0,4.7
Tuatapere,100,NZ,1570733997,91,-46.13,167.69,43.0,11.99
Annau,75,TM,1570733998,46,37.89,58.52,71.6,4.7
Bagdarin,0,RU,1570733999,53,54.44,113.59,9.64,6.34
Magistralnyy,75,RU,1570734000,72,56.17,107.45,17.2,2.82
Port Hardy,75,CA,1570734000,75,50.7,-127.42,42.8,4.7
Fairbanks,90,US,1570734001,93,64.84,-147.72,37.4,3.36
Manaure,40,CO,1570734001,79,11.78,-72.45,86.0,12.75
Amahai,100,ID,1570734002,85,-3.31,129.0,79.12,7.1
Naryan-Mar,76,RU,1570734003,90,67.67,53.09,33.22,10.28
Hambantota,20,LK,1570734005,100,6.12,81.12,77.0,5.82
Flinders,90,AU,1570734006,87,-34.58,150.85,55.99,4.7
San Pedro,40,AR,1570734008,50,-33.68,-59.66,86.0,5.01
Martapura,13,ID,1570734008,93,-3.41,114.85,73.72,2.68
Port Alfred,29,ZA,1570734009,72,-33.59,26.89,61.0,5.99
Toamasina,75,MG,1570734010,88,-18.17,49.38,73.4,3.36
Mbuji-Mayi,100,CD,1570734010,72,-6.13,23.6,76.24,1.78
San Ramon de la Nueva Oran,0,AR,1570734011,17,-23.13,-64.33,103.06,4.81
Los Llanos de Aridane,75,ES,1570734012,78,28.66,-17.92,73.4,5.82
